make,model_range,ids_code,description,model_year,model_year_decimal,body_style,long_description,model_group,model_tree_description,special_edition,vehicle_tree_description,current_vehicle,commercial,reclaim_vat,basic_price,manufacturers_delivery_price,mrp,p11d_price,date_of_introduction,end_of_production,price_list_date,door,engine_size,insurance_group,fuel_type,transmission_type,mpg_urban,mpg_extra_urban,mpg_combined,co2_emissions,euro_emissions,bhp,power_ps,power_kw,torque,rpm_for_torque,length,width,height,gross_vehicle_weight,unladen_weight,towing_weight_braked,towing_weight_unbraked,wheel_base,ground_clearance,fuel_tank_size,boot_capacity,maximum_speed,acceleration_0_100_kph,acceleration_0_60_mph,front_tyres,rear_tyres,spare_tyre,front_brakes,rear_brakes,servicing_indication,image_filename,gears,axles,manufacturer_model_description,seats,otr_price,win_commercial,parent_ids_code,trim,vehicle_factory_code,fleetware_code
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043974,FOCUS HAT 2.3 ECB 280 ST,24A,2024.01,Hatchback,Focus Hatch 2.3 Ecb 280 ST,Focus,Focus 5 Door Hatch,FALSE,2.3 Ecb 280 ST,TRUE,FALSE,FALSE,30441.67,20.83,36530,36555,08/04/2024,NULL,08/04/2024,5,2298,13,Petrol,Manual,NULL,NULL,NULL,NULL,6,276,157.15,108.32,309.8,NULL,4358,2010,1484,NULL,NULL,NULL,NULL,2648,NULL,55,11.2,155,5.7,NULL,235/35R19 Y,235/35R19 Y,Space saver,VENT DISC,DISC,FALSE,focus-hatch-fo5f-24a.jpg,6,NULL,Focus Hatch,5,37705,0,FO042261,ST,NULL,191705
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043975,FOCUS HAT 2.3 ECB 280 ST AU,24A,2024.01,Hatchback,Focus Hatch 2.3 Ecb 280 ST Auto,Focus,Focus 5 Door Hatch,FALSE,2.3 Ecb 280 ST Auto,TRUE,FALSE,FALSE,31650,20.83,37980,38005,08/04/2024,NULL,08/04/2024,5,2298,13,Petrol,Automatic,NULL,NULL,NULL,NULL,6,276,157.15,108.32,306.1,NULL,4358,2010,1484,NULL,NULL,NULL,NULL,2648,NULL,55,11.2,155,5.7,NULL,235/35R19 Y,235/35R19 Y,Space saver,VENT DISC,DISC,FALSE,focus-hatch-fo5f-24a.jpg,7,NULL,Focus Hatch,5,39155,0,FO042262,ST,NULL,191706
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043976,FOCUS HAT 1.0 EcoBoost mHEV 155 TTNM AU,24A,2024.01,Hatchback,Focus Hatch 1.0 EcoBoost mHEV 155 Titanium Auto,Focus,Focus 5 Door Hatch,FALSE,1.0 EcoBoost mHEV 155 Titanium Auto,TRUE,FALSE,FALSE,25050,20.83,30060,30085,08/04/2024,NULL,08/04/2024,5,999,12,Mild Hybrid Electric Petrol,Automatic,NULL,NULL,NULL,NULL,6,153,155.13,106.92,140.1,NULL,4360,2010,1484,NULL,1280,1200,640,2648,NULL,55,11.2,129,8.4,NULL,205/60R16 V,205/60R16 V,Space saver,VENT DISC,DRUM,FALSE,focus-hatch-fo5f-24a.jpg,7,NULL,Focus Hatch,5,30350,0,FO042263,TITANIUM,NULL,191734
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043977,FOCUS HAT 1.0 EcoBoost mHEV 155 TNM X AU,24A,2024.01,Hatchback,Focus Hatch 1.0 EcoBoost mHEV 155 Titanium X Auto,Focus,Focus 5 Door Hatch,FALSE,1.0 EcoBoost mHEV 155 Titanium X Auto,TRUE,FALSE,FALSE,26883.33,20.83,32260,32284.99,08/04/2024,NULL,08/04/2024,5,999,13,Mild Hybrid Electric Petrol,Automatic,NULL,NULL,NULL,NULL,6,153,155.13,106.92,140.1,NULL,4360,2010,1484,NULL,1280,1200,640,2648,NULL,55,11.2,129,8.4,NULL,215/50R17 V,215/50R17 V,Space saver,VENT DISC,DRUM,FALSE,focus-hatch-fo5f-24a.jpg,7,NULL,Focus Hatch,5,32549.99,0,FO042264,TITANIUM X,NULL,196173
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043978,FOCUS HAT 1.0 EcoBoost mHEV 155 ACV X AU,24A,2024.01,Hatchback,Focus Hatch 1.0 EcoBoost mHEV 155 Active X Auto,Focus,Focus 5 Door Hatch,FALSE,1.0 EcoBoost mHEV 155 Active X Auto,TRUE,FALSE,FALSE,27575,20.83,33090,33115,08/04/2024,NULL,08/04/2024,5,999,13,Mild Hybrid Electric Petrol,Automatic,NULL,NULL,NULL,NULL,6,153,155.13,106.92,140.1,NULL,4360,2010,1484,NULL,NULL,NULL,NULL,2648,NULL,55,11.2,129,8.4,NULL,235/40R18 Y,235/40R18 Y,Space saver,VENT DISC,DRUM,FALSE,focus-hatch-fo5f-24a.jpg,7,NULL,Focus Hatch,5,33380,0,FO042266,ACTIVE X,NULL,196177
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043979,FOCUS HAT 1.0 EcoBoost mHEV 155 ST-LN AU,24A,2024.01,Hatchback,Focus Hatch 1.0 EcoBoost mHEV 155 ST-Line Auto,Focus,Focus 5 Door Hatch,FALSE,1.0 EcoBoost mHEV 155 ST-Line Auto,TRUE,FALSE,FALSE,25741.67,20.83,30890,30915,08/04/2024,NULL,08/04/2024,5,999,12,Mild Hybrid Electric Petrol,Automatic,NULL,NULL,NULL,NULL,6,153,155.13,106.92,140.1,NULL,4360,2010,1484,NULL,1327,1200,660,2648,NULL,55,11.2,129,8.4,NULL,215/50R17 V,215/50R17 V,Space saver,VENT DISC,DISC,FALSE,focus-hatch-fo5f-24a.jpg,7,NULL,Focus Hatch,5,31180,0,FO042267,ST-LINE,NULL,191738
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043980,FOCUS HAT 1.0 EcoBoost mHEV 155 ST-LX AU,24A,2024.01,Hatchback,Focus Hatch 1.0 EcoBoost mHEV 155 St-Line X Auto,Focus,Focus 5 Door Hatch,FALSE,1.0 EcoBoost mHEV 155 St-Line X Auto,TRUE,FALSE,FALSE,27575,20.83,33090,33115,08/04/2024,NULL,08/04/2024,5,999,13,Mild Hybrid Electric Petrol,Automatic,NULL,NULL,NULL,NULL,6,153,155.13,106.92,140.1,NULL,4360,2010,1484,NULL,1327,1200,660,2648,NULL,55,11.2,129,8.4,NULL,205/60R16 V,205/60R16 V,Space saver,VENT DISC,DISC,FALSE,focus-hatch-fo5f-24a.jpg,7,NULL,Focus Hatch,5,33380,0,FO042268,ST-LINE X,NULL,196181
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043981,FOCUS HAT 1.0 EcoBoost mHEV 125 ST-LN,24A,2024.01,Hatchback,Focus Hatch 1.0 EcoBoost mHEV 125 ST-Line,Focus,Focus 5 Door Hatch,FALSE,1.0 EcoBoost mHEV 125 ST-Line,TRUE,FALSE,FALSE,24200,20.83,29040,29065,08/04/2024,NULL,08/04/2024,5,999,12,Mild Hybrid Electric Petrol,Manual,NULL,NULL,NULL,NULL,6,123,124.62,91.72,125.3,NULL,4360,2010,1484,NULL,1327,1200,660,2648,NULL,55,11.2,124,10.2,NULL,215/50R17 V,215/50R17 V,Space saver,VENT DISC,DISC,FALSE,focus-hatch-fo5f-24a.jpg,6,NULL,Focus Hatch,5,29330,0,FO042269,ST-LINE,NULL,199455
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043982,FOCUS HAT 1.0 EcoBoost mHEV 125 ST-LX,24A,2024.01,Hatchback,Focus Hatch 1.0 EcoBoost mHEV 125 St-Line X,Focus,Focus 5 Door Hatch,FALSE,1.0 EcoBoost mHEV 125 St-Line X,TRUE,FALSE,FALSE,26033.33,20.83,31240,31264.99,08/04/2024,NULL,08/04/2024,5,999,13,Mild Hybrid Electric Petrol,Manual,NULL,NULL,NULL,NULL,6,123,124.71,85.95,125.3,NULL,4360,2010,1484,NULL,NULL,NULL,NULL,2648,NULL,55,11.2,124,10.2,NULL,205/60R16 V,205/60R16 V,Space saver,VENT DISC,DISC,FALSE,focus-hatch-fo5f-24a.jpg,6,NULL,Focus Hatch,5,31529.99,0,FO042270,ST-LINE X,NULL,199456
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043983,FOCUS HAT 1.0 EcoBoost mHEV 125 ACV X,24A,2024.01,Hatchback,Focus Hatch 1.0 EcoBoost mHEV 125 Active X,Focus,Focus 5 Door Hatch,FALSE,1.0 EcoBoost mHEV 125 Active X,TRUE,FALSE,FALSE,26033.33,20.83,31240,31264.99,08/04/2024,NULL,08/04/2024,5,999,13,Mild Hybrid Electric Petrol,Manual,NULL,NULL,NULL,NULL,6,123,124.62,91.72,125.3,NULL,4360,2010,1484,NULL,NULL,NULL,NULL,2648,NULL,55,11.2,124,10.2,NULL,235/40R18 Y,235/40R18 Y,Space saver,VENT DISC,DRUM,FALSE,focus-hatch-fo5f-24a.jpg,6,NULL,Focus Hatch,5,31529.99,0,FO042272,ACTIVE X,NULL,199458
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043984,FOCUS HAT 1.0 EcoBoost mHEV 125 TTNM,24A,2024.01,Hatchback,Focus Hatch 1.0 EcoBoost mHEV 125 Titanium,Focus,Focus 5 Door Hatch,FALSE,1.0 EcoBoost mHEV 125 Titanium,TRUE,FALSE,FALSE,23508.33,20.83,28210,28234.99,08/04/2024,NULL,08/04/2024,5,999,12,Mild Hybrid Electric Petrol,Manual,NULL,NULL,NULL,NULL,6,123,124.62,91.72,125.3,NULL,4360,2010,1484,NULL,1280,1200,640,2648,NULL,55,11.2,124,10.2,NULL,205/60R16 V,205/60R16 V,Space saver,VENT DISC,DRUM,FALSE,focus-hatch-fo5f-24a.jpg,6,NULL,Focus Hatch,5,28499.99,0,FO042273,TITANIUM,NULL,199459
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043985,FOCUS HAT 1.0 EcoBoost mHEV 125 TNM X,24A,2024.01,Hatchback,Focus Hatch 1.0 EcoBoost mHEV 125 Titanium X,Focus,Focus 5 Door Hatch,FALSE,1.0 EcoBoost mHEV 125 Titanium X,TRUE,FALSE,FALSE,25341.67,20.83,30410,30435,08/04/2024,NULL,08/04/2024,5,999,13,Mild Hybrid Electric Petrol,Manual,NULL,NULL,NULL,NULL,6,123,124.62,91.72,125.3,NULL,4360,2010,1484,NULL,1280,1200,640,2648,NULL,55,11.2,124,10.2,NULL,215/50R17 V,215/50R17 V,Space saver,VENT DISC,DRUM,FALSE,focus-hatch-fo5f-24a.jpg,6,NULL,Focus Hatch,5,30700,0,FO042274,TITANIUM X,NULL,199460
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043986,FOCUS HAT 2.3 ECB 280 ST TRACK PACK,24A,2024.01,Hatchback,Focus Hatch 2.3 Ecb 280 ST Track Pack,Focus,Focus 5 Door Hatch,FALSE,2.3 Ecb 280 ST Track Pack,TRUE,FALSE,FALSE,32941.67,20.83,39530,39555,08/04/2024,NULL,08/04/2024,5,2298,13,Petrol,Manual,NULL,NULL,NULL,NULL,6,276,157.15,108.32,309.8,NULL,4358,2010,1484,NULL,NULL,NULL,NULL,2648,NULL,55,11.2,155,5.7,NULL,235/35R19 Y,235/35R19 Y,Space saver,VENT DISC,DISC,FALSE,focus-hatch-fo5f-24a.jpg,6,NULL,Focus Hatch,5,40705,0,FO042275,ST,NULL,199461
Ford,Ford FOCUS 5DR HATCH model range     NEW,FO043987,FOCUS HAT 2.3 ECB 280 ST EDITION,24A,2024.01,Hatchback,Focus Hatch 2.3 Ecb 280 ST Edition,Focus,Focus 5 Door Hatch,TRUE,2.3 Ecb 280 ST Edition,TRUE,FALSE,FALSE,34775,20.83,41730,41755,08/04/2024,NULL,08/04/2024,5,2298,13,Petrol,Manual,NULL,NULL,NULL,NULL,6,276,157.15,108.32,309.8,NULL,4358,2010,1484,NULL,NULL,NULL,NULL,2648,NULL,55,11.2,155,5.7,NULL,235/35R19 Y,235/35R19 Y,Space saver,VENT DISC,DISC,FALSE,focus-hatch-fo5f-24a.jpg,6,NULL,Focus Hatch,5,42905,0,NULL,ST EDITION,NULL,202687
